9.8E-01,6.4E-01,4.8E-01,-3E-02,-5.2E-01,-1.9E-01,1.4E-01,5E-02,1.5E-01,4.6E-01,3.9E-01,3.2E-01
2.6E-01,1.7E-01,-1E-01,6E-02,1E-01,1.4E-01,4.1E-01,6.6E-01,6.7E-01,7.3E-01,6.2E-01,7.1E-01
5.6E-01,2.6E-01,2.8E-01,2.8E-01,3E-01,2.2E-01,-1E-02,-4E-02,-8E-02,-1.5E-01,-4.4E-01,-7.5E-01
-9.8E-01,-7.1E-01,-7.3E-01,-3E-01,-1.1E-01,9E-02,3E-02,3.7E-01,6.3E-01,7.6E-01,9.8E-01,1.1E+00
5.9E-01,1.2E-01,-1.5E-01,-1.6E-01,-3.9E-01,-1.6E-01,-3.7E-01,-5.7E-01,-1.04E+00,-1.4E+00,-1.58E+00,-1.61E+00
-1.79E+00,-1.7E+00,-1.17E+00,-8.9E-01,-6.4E-01,-4.4E-01,-4E-02,-4E-02,-2.8E-01,-3E-01,-3.7E-01,-9E-01
-1E+00,-7.1E-01,-7.2E-01,-2.5E-01,1.7E-01,4.9E-01,6.9E-01,6.2E-01,6.8E-01,9.6E-01,1.49E+00,1.81E+00
1.43E+00,1.18E+00,1.07E+00,5.6E-01,-1.5E-01,-6.2E-01,-8.9E-01,-1.33E+00,-1.56E+00,-1.65E+00,-1.57E+00,-1.63E+00
-1.7E+00,-1.26E+00,-9.8E-01,-7.4E-01,-5.3E-01,-2.5E-01,-2.3E-01,-6.6E-01,-7.6E-01,-9.3E-01,-1.09E+00,-1.05E+00
-9.3E-01,-6.1E-01,-4.8E-01,-2.9E-01,-1.8E-01,1.4E-01,4.4E-01,6.6E-01,4.4E-01,2.3E-01,3.3E-01,-1.3E-01
-4.2E-01,-4E-01,-1.4E-01,-8E-02,-2.8E-01,-3.3E-01,-2.8E-01,-2.9E-01,-9E-02,-2.4E-01,-2E-02,-9E-02
-4.2E-01,-4.5E-01,-7E-02,2.8E-01,4.5E-01,4.8E-01,1.3E-01,1.4E-01,3.7E-01,4.8E-01,8.9E-01,7.7E-01
5.9E-01,5.7E-01,4.8E-01,9E-01,1.04E+00,1.28E+00,1.56E+00,1.87E+00,2.01E+00,2.21E+00,2.57E+00,2.56E+00
2.56E+00,2.11E+00,1.6E+00,1.05E+00,4.5E-01,6E-02,-2.5E-01,-4.8E-01,-4.6E-01,-7.5E-01,-6.3E-01,-5.1E-01
-3.4E-01,-1E-02,-9E-02,2.2E-01,3E-01,2.2E-01,2.2E-01,-1.8E-01,-5.6E-01,-5.2E-01,-8.4E-01,-8.5E-01
-8.6E-01,-7.3E-01,-7.3E-01,-3.6E-01,-1.2E-01,1.2E-01,2.7E-01,5E-02,3E-01,8.4E-01,1E+00,9.7E-01
5.10E-01,6.20E-01,8.10E-01,6.70E-01,6.10E-01,6.60E-01,4.10E-01,1.90E-01,1.10E-01,5.50E-01,7.40E-01,5.10E-01
